X,Y,FID,CleverID,StopID,StopName,Timepoint,Direction,Routes_ser,NumberofRo,Latitude,Longitude,Mode,Shelter,Stop_type,On_avwk_FY,Off_avwk_F,On_avwk__1,Off_avwk_1,Ramp_Deplo,On_avwk_CY,Off_avwk_C,On_avwk__2,Off_avwk_2
-80.0990000294874,40.4443999557281,4281,19221,W22610,STEUBENVILLE PIKE AT E WINDHAVEN RD FS,NA,Inbound,29,1,40.4444,-80.099,Bus,No Shelter,Bus Stop,0.2,0.04,0,0,0,0,0,0,0
-80.0612000294983,40.4407999557365,4282,21081,W70142,STEUBEN ST AT WINLOCK AVE,NA,Outbound,29,1,40.4408,-80.0612,Bus,No Shelter,Bus Stop,0.2,0.03,0,0,0,0,0,0,0
-79.8669000295371,40.3827999557671,4283,20185,S22275,HOFFMAN BLVD AT CLONMEL ST,NA,Both,59,1,40.3828,-79.8669,Bus,No Shelter,Bus Stop,0.19,0.03,0,0,0,No Data,No Data,No Data,No Data
-79.9265000295516,40.4605999557776,4284,18967,E70335,WHITFIELD ST AT BAUM BLVD,NA,Inbound,"74, 89",2,40.4606,-79.9265,Bus,No Shelter,Bus Stop,0.19,1.95,0,2,0,6,11,6,11
-79.9341000295311,40.4196999557621,4285,18964,E07890,BIGELOW ST AT HAZELWOOD AVE FS,NA,Outbound,58,1,40.4197,-79.9341,Bus,No Shelter,Bus Stop,0.19,0.3,0,0,0,5,7,5,7
-79.9354000295327,40.4242999557633,4286,12136,E25365,GREENFIELD AVE OPP GRAPHIC ST,NA,Outbound,58,1,40.4243,-79.9354,Bus,No Shelter,Bus Stop,0.19,0.7,0,1,0,5,9,5,9
-80.0073000295109,40.4287999557464,4287,6752,X17736,SOUTHERN AVE OPP SHILOH ST,NA,Outbound,40,1,40.4288,-80.0073,Bus,No Shelter,Bus Stop,0.19,2.34,0,2,0.02,3,34,3,34
-79.9477000295521,40.4777999557778,4288,9270,E53150,STANTON AVE OPP STEPS FS,NA,Inbound,87,1,40.4778,-79.9477,Bus,No Shelter,Bus Stop,0.19,0.11,0,0,0,2,1,2,1
-79.7755000295913,40.4378999558088,4289,13599,E59270,WM PENN HWY OPP RED LOBSTER,NA,Outbound,67,1,40.4379,-79.7755,Bus,No Shelter,Bus Stop,0.19,6.93,0,7,0.02,2,25,2,25
-79.8919000295642,40.4634999557874,4290,20367,E70750,TILDEN ST AT SILVERTON ST,NA,Outbound,74,1,40.4635,-79.8919,Bus,No Shelter,Bus Stop,0.19,0.29,0,0,0,2,2,2,2
